t,ms,x,y,z,f
1560485100,001,21185.240,140.259,43107.562,47991.470
1560485101,000,21185.221,140.284,43107.624,47991.480
1560485102,000,21185.292,140.241,43107.643,47991.520
1560485103,000,21185.314,140.149,43107.636,47991.540
1560485104,001,21185.361,140.081,43107.660,47991.580
1560485105,001,21185.352,140.044,43107.731,47991.610
1560485106,001,21185.370,139.990,43107.764,47991.650
1560485107,000,21185.418,139.863,43107.775,47991.680
1560485108,000,21185.437,139.817,43107.766,47991.680
1560485109,000,21185.423,139.770,43107.780,47991.740
1560485110,001,21185.418,139.735,43107.778,47991.740
1560485111,001,21185.403,139.735,43107.800,47991.740
1560485112,001,21185.402,139.702,43107.807,47991.720
1560485113,001,21185.288,139.678,43107.842,47991.760
1560485114,000,21185.270,139.635,43107.851,47991.720
1560485115,000,21185.260,139.622,43107.851,47991.730
1560485116,000,21185.218,139.599,43107.889,47991.720
1560485117,001,21185.181,139.591,43107.852,47991.670
1560485118,001,21185.049,139.627,43107.884,47991.660
1560485119,001,21184.980,139.656,43107.881,47991.610
1560485120,000,21184.882,139.703,43107.899,47991.580
1560485121,000,21184.875,139.705,43107.867,47991.520
1560485122,001,21184.878,139.713,43107.878,47991.550
1560485123,001,21184.781,139.773,43107.864,47991.490
1560485124,001,21184.788,139.840,43107.820,47991.490
1560485125,001,21184.806,139.889,43107.794,47991.460
1560485126,000,21184.752,139.883,43107.761,47991.440
1560485127,000,21184.707,139.897,43107.782,47991.400
1560485128,000,21184.720,139.933,43107.717,47991.360
1560485129,000,21184.752,139.948,43107.674,47991.330
1560485130,001,21184.751,139.971,43107.619,47991.310
1560485131,001,21184.732,139.961,43107.615,47991.330
1560485132,001,21184.808,139.972,43107.592,47991.290
1560485133,000,21184.849,139.970,43107.582,47991.330
1560485134,000,21184.835,139.958,43107.569,47991.290
1560485135,000,21184.800,139.990,43107.585,47991.300
1560485136,001,21184.757,140.007,43107.602,47991.290
1560485137,001,21184.821,139.977,43107.615,47991.280
1560485138,001,21184.821,139.983,43107.600,47991.290
1560485139,000,21184.771,139.983,43107.579,47991.280
1560485140,000,21184.764,139.927,43107.587,47991.260
1560485141,000,21184.676,139.907,43107.610,47991.290
1560485142,001,21184.689,139.895,43107.597,47991.300
1560485143,001,21184.721,139.878,43107.616,47991.230
